City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,dudinka,69.4058,86.1778,58.69,40,39,21.74,RU,1721713844
182,hadibu,12.65,54.0333,81.28,70,99,35.1,YE,1721713844
183,nemuro,43.3236,145.575,70.74,84,91,10.51,JP,1721713844
184,millau,44.0833,2.9167,60.01,90,13,2.95,FR,1721713844
185,maracaibo,10.6317,-71.6406,80.78,78,87,4.79,VE,1721713555
186,utrik,11.2278,169.8474,82.71,78,37,15.86,MH,1721713844
187,portland,45.5234,-122.6762,63.63,68,0,1.99,US,1721713200
188,luanda,-8.8368,13.2343,69.8,88,75,5.75,AO,1721713844
189,port saint john's,-31.6229,29.5448,56.44,71,25,6.55,ZA,1721713845
190,cururupu,-1.8283,-44.8683,71.83,100,2,1.03,BR,1721713845
191,crane,31.3974,-102.3501,70.72,69,43,6.55,US,1721713845
192,canar,-2.55,-78.9333,47.77,88,93,9.73,EC,1721713845
193,ceeldheer,3.8488,47.1806,81.23,67,80,18.39,SO,1721713845
194,lompoc,34.6391,-120.4579,56.93,100,20,4.61,US,1721713845
195,tuburan,6.6439,122.2736,87.89,76,91,10.58,PH,1721713845
196,okha,53.5739,142.9478,52.45,98,100,15.52,RU,1721713846
197,santa ana,33.7456,-117.8678,77.25,80,20,8.05,US,1721713846
198,west island,-12.1568,96.8225,84.18,70,75,9.22,CC,1721713846
199,antsiranana,-12.2787,49.2917,79.9,46,100,14.45,MG,1721713846
200,saldanha,-33.0117,17.9442,35.65,74,89,3.49,ZA,1721713846
201,reggane,26.7158,0.1714,94.82,11,0,6.2,DZ,1721713846
202,pangody,65.85,74.4859,59.13,41,89,13.78,RU,1721713847
203,inirida,3.8653,-67.9239,71.44,99,95,1.34,CO,1721713847
204,kavaratti,10.5669,72.642,81.59,87,100,14.67,IN,1721713847
205,inhambane,-23.865,35.3833,58.98,100,20,0.0,MZ,1721713847
206,moose jaw,50.4001,-105.5344,62.85,94,2,5.75,CA,1721713847
207,sola,-13.8833,167.55,79.83,78,73,21.32,VU,1721713847
208,la ronge,55.1001,-105.2842,64.65,72,0,6.91,CA,1721713847
209,ulsteinvik,62.3432,5.8487,58.32,91,30,1.99,NO,1721713848
210,say,13.1007,2.3689,77.56,87,98,7.63,NE,1721713848
211,manokwari,-0.8667,134.0833,80.49,78,95,6.22,ID,1721713848
212,waingapu,-9.6567,120.2641,82.35,61,30,17.76,ID,1721713752
213,yuzhno-kurilsk,44.0306,145.8556,75.4,73,100,4.14,RU,1721713848
214,kilindoni,-7.9139,39.6668,77.61,71,93,14.16,TZ,1721713848
215,qui nhon,13.7667,109.2333,87.4,62,99,12.48,VN,1721713848
216,cockburn town,21.4612,-71.1419,82.45,81,1,22.7,TC,1721713848
217,bamboo flat,11.7,92.7167,86.09,79,75,14.97,IN,1721713849
218,ambovombe,-25.1667,46.0833,70.7,71,35,10.33,MG,1721713849
219,korla,41.7597,86.1469,89.02,27,0,7.63,CN,1721713849
220,igarka,67.4667,86.5833,63.73,49,92,13.78,RU,1721713849
221,grand falls-windsor,48.9332,-55.6649,56.5,85,9,9.89,CA,1721713849
222,carnarvon,-24.8667,113.6333,70.29,71,31,15.95,AU,1721713849
223,saipan,15.1355,145.701,88.5,70,20,9.22,MP,1721713850
224,tocopilla,-22.092,-70.1979,60.12,75,16,5.68,CL,1721713850
225,mount isa,-20.7333,139.5,78.57,12,0,12.66,AU,1721713850
226,tazovsky,67.4667,78.7,51.73,54,100,15.99,RU,1721713850
227,nappanee,41.4428,-86.0014,66.72,89,20,0.0,US,1721713850
228,prado,-17.3411,-39.2208,67.46,73,0,2.21,BR,1721713850
229,hamilton,39.1834,-84.5333,71.15,91,0,0.0,US,1721713830
230,ta`u,-14.2336,-169.5144,80.51,72,39,23.2,AS,1721713850
231,acarau,-2.8856,-40.12,76.68,86,4,16.11,BR,1721713851
232,"laikit, laikit ii (dimembe)",1.4792,124.9735,83.25,66,20,13.8,ID,1721713851
233,nikolayevsk-on-amure,53.1406,140.73,54.81,98,100,5.08,RU,1721713851
234,tianshui,34.5439,105.6897,73.65,85,100,4.97,CN,1721713851
235,port lincoln,-34.7333,135.8667,64.47,43,98,16.44,AU,1721713851
236,richards bay,-28.783,32.0377,64.47,75,52,1.41,ZA,1721713851
